STORE_CODE,STORE_NAME,STORE_LINK,STORE_LOCATION,STORE_POSTAL_CODE,MARKET,STORE_CODE_NEW
562,Lyon - Grand Parilly,https://www.ikea.com/fr/fr/stores/grand-parilly/,Vénissieux,69200 ,FR,562
387,IKEA  Graz,https://www.ikea.com/at/de/stores/graz/,"Weblinger Gürtel 31, Graz",8054,AT,387
388,IKEA  Linz Haid,https://www.ikea.com/at/de/stores/linz-haid/,Linz Haid,4053,AT,388
273,IKEA  Innsbruck,https://www.ikea.com/at/de/stores/innsbruck/,Innsbruck,6020,AT,273
155,IKEA  Klagenfurt,https://www.ikea.com/at/de/stores/klagenfurt/,Klagenfurt,9020,AT,155
386,IKEA  Salzburg,https://www.ikea.com/at/de/stores/salzburg/,Salzburg,5020,AT,386
85,IKEA  Vösendorf,https://www.ikea.com/at/de/stores/wien-voesendorf/,Vösendorf,2334,AT,085
90,IKEA  Wien Nord,https://www.ikea.com/at/de/stores/wien-nord/,Wien Nord,1220,AT,090
291,IKEA Dietlikon,https://www.ikea.com/ch/de/stores/dietlikon/,Dietlikon,8305,CH,291
290,IKEA Lyssach,https://www.ikea.com/ch/de/stores/lyssach/,Lyssach,3421,CH,290
292,IKEA Pratteln,https://www.ikea.com/ch/de/stores/pratteln/,Pratteln,4133,CH,292
275,IKEA Rothenburg,https://www.ikea.com/ch/de/stores/rothenburg/,Rothenburg,6023,CH,275
79,IKEA Spreitenbach,https://www.ikea.com/ch/de/stores/spreitenbach/,Spreitenbach,8957,CH,079
917,IKEA St. Gallen,https://www.ikea.com/ch/de/stores/st-gallen/,St. Gallen,9015,CH,917
918,IKEA Vernier,https://www.ikea.com/ch/fr/stores/vernier/,Vernier,1214,CH,918
78,IKEA Aubonne,https://www.ikea.com/ch/fr/stores/aubonne/,Aubonne,1170,CH,078
101,IKEA Grancia,https://www.ikea.com/ch/it/stores/grancia/,Grancia,6916,CH,101
551,IKEA Karlsruhe,https://www.ikea.com/de/de/stores/karlsruhe/,Karlsruhe,76137,DE,551
188,IKEA Warszawa Janki,https://www.ikea.com/pl/pl/stores/janki/,"Janki, pl. Szwedzki 1",05-090,PL,188
203,IKEA Gdańsk,https://www.ikea.com/pl/pl/stores/gdansk/,ul. Złota Karczma 26,80-298,PL,203
204,IKEA Kraków,https://www.ikea.com/pl/pl/stores/krakow/,ul. Josepha Conrada 66,31-357,PL,204
205,IKEA Poznań,https://www.ikea.com/pl/pl/stores/poznan/,ul. Szwedzka 10,61-285,PL,205
294,IKEA Wrocław,https://www.ikea.com/pl/pl/stores/wroclaw/,"Bielany Wroclawskie, Czekoladowa 5A",55-040,PL,294
306,IKEA Katowice,https://www.ikea.com/pl/pl/stores/katowice/,al. W. Roździeńskiego 95,40-203,PL,306
307,IKEA Warszawa Targówek,https://www.ikea.com/pl/pl/stores/targowek/,ul. Malborska 51,03-286,PL,307
311,IKEA Lublin,https://www.ikea.com/pl/pl/stores/lublin/,Aleja Spółdzielczości Pracy 86,20-147,PL,311
329,IKEA Łódź,https://www.ikea.com/pl/pl/stores/lodz/,ul. Pabianicka 255,93-457,PL,329
429,IKEA Bydgoszcz,https://www.ikea.com/pl/pl/stores/bydgoszcz/,ul. Skandynawska 1,85-776,PL,429
583,IKEA Szczecin,https://www.ikea.com/pl/pl/stores/szczecin/,ul. Białowieska 2,71-010,PL,583
623,Warszawa,https://www.ikea.com/pl/pl/stores/warszawa-pub34df9031,Warszawa,02-222,PL,623
189,IKEA Fukuoka Shingu,https://www.ikea.com/jp/ja/stores/fukuoka-shingu/,Fukuokashingu,811-0120,JP,189
671,IKEA Tokyo-Bay,https://www.ikea.com/jp/ja/stores/harajuku/,Harajuku,150-0001,JP,671
486,IKEA仙台,https://www.ikea.com/jp/ja/stores/kobe/,Kobe,650-0046,JP,486
448,IKEA長久手,https://www.ikea.com/jp/ja/stores/kohoku/,Kohoku,224-0043,JP,448
509,IKEA新宿,https://www.ikea.com/jp/ja/stores/nagakute/,Nagakute,480-1100,JP,509
392,IKEA神戸,https://www.ikea.com/jp/ja/stores/sendai/,Sendai,982-0007,JP,392
647,IKEA新三郷,https://www.ikea.com/jp/ja/stores/shibuya/,Shibuya,150-0042,JP,647
651,IKEA立川,https://www.ikea.com/jp/ja/stores/shinjuku/,Shinjuku,160-0022,JP,651
887,IKEA鶴浜,https://www.ikea.com/jp/ja/stores/shinmisato/,Shinmisato,341-0009,JP,887
359,IKEA原宿,https://www.ikea.com/jp/ja/stores/tachikawa/,Tachikawa,190-0014,JP,359
447,IKEA港北,https://www.ikea.com/jp/ja/stores/tokyo-bay/,Tokyo-Bay,273-0012,JP,447
496,IKEA渋谷,https://www.ikea.com/jp/ja/stores/tsuruhama/,Tsuruhama,551-0023,JP,496
59,IKEA București Băneasa,https://www.ikea.com/ro/ro/stores/bucuresti/baneasa/,Bucureşti,13696,RO,059
500,IKEA București Pallady,https://www.ikea.com/ro/ro/stores/bucuresti/pallady/,Bucureşti,32266,RO,500
642,IKEA Hammersmith,https://www.ikea.com/gb/en/stores/hammersmith/,Hammersmith,W6 9HW,GB,642
21,Zagreb,https://www.ikea.com/hr/hr/stores/,Sesvete-Kraljevec,10361,HR,021
706,Diagonal,https://www.ikea.com/es/es/stores/ikea-diagonal/,Barcelona,8036,ES,706
691,Almería - La Rambla,'-,Almería,4008,ES,691
699,Granada,https://www.ikea.com/es/es/stores/ikea-granada/,Granada,18100,ES,699
695,Leganés,https://www.ikea.com/es/es/stores/ikea-leganes/,Leganés (Madrid),28916,ES,695
705,Glories,https://www.ikea.com/es/es/stores/ikea-glories/,Barcelona,8018,ES,705
665,Las Rozas,https://www.ikea.com/es/es/stores/lasrozas/,Las Rozas (Madrid),28232,ES,665
12852,Goya,https://www.ikea.com/es/es/stores/store-goya/,Madrid,28001,ES,12852
674,Torrejón,https://www.ikea.com/es/es/stores/ikea-torrejon/,Torrejon de Ardoz (Madrid),28850,ES,674
1,IKEA Loures,https://www.ikea.com/pt/pt/stores/loures/,Loures,2660-001 Loures,PT,001
5,IKEA Aalborg,https://www.ikea.com/dk/da/stores/aalborg/,Aalborg,9200,DK,9200
7,IKEA Sørlandet,https://www.ikea.com/no/no/stores/sorlandet/,Sørlandet,4636,NO,4636
9,IKEA Matosinhos,https://www.ikea.com/pt/pt/stores/matosinhos/,Matosinhos,4450-745 Matosinhos,PT,009
91,IKEA Slependen,https://www.ikea.com/no/no/stores/slependen/,Slependen,1396,NO,1396
94,IKEA Taastrup,https://www.ikea.com/dk/da/stores/taastrup/,Taastrup,2630,DK,2630
95,IKEA Furuset,https://www.ikea.com/no/no/stores/furuset/,Furuset,1081,NO,1081
121,IKEA Gentofte,https://www.ikea.com/dk/da/stores/gentofte/,Gentofte,2820,DK,2820
126,IKEA Forus,https://www.ikea.com/no/no/stores/forus/,Forus,4313,NO,4313
151,Delft,https://www.ikea.com/nl/nl/stores/delft/,Olof Palmestraat 1,2616 LN,NL,151
172,IKEA Odense,https://www.ikea.com/dk/da/stores/odense/,Odense,5220,DK,5220
298,IKEA Aarhus,https://www.ikea.com/dk/da/stores/aarhus/,Aarhus,8200,DK,8200
367,IKEA Alfragide,https://www.ikea.com/pt/pt/stores/alfragide/,Alfragide,2614-520 Amadora,PT,367
371,IKEA Leangen,https://www.ikea.com/no/no/stores/leangen/,Leangen,7048,NO,7048
373,IKEA Gwangmyeong,https://ikea.com/kr/en/stores/gwangmyeong/,Gwangmyeong,14352,KR,373
390,KEA Ringsaker,https://www.ikea.com/no/no/stores/ringsaker/,Ringsaker,2320,NO,2320
441,IKEA Åsane,https://www.ikea.com/no/no/stores/asane/,Åsane,5131,NO,5131
453,IKEA Loulé,https://www.ikea.com/pt/pt/stores/loule/,Loulé,8135-182 Almancil,PT,453
